"whichScene","hierarchy","duration","place","time","location","start_time","end_time","vid_duration","howManyShots","arousal_mean","number_people","duration_ratio","start_time_buffer","end_time_buffer","vid_duration_buffer","frame_position","Jumps","characterChanges","start_seconds","end_seconds","speech","word_count","bright_mean","bright_sd","normdiff"
71,"Scene",12,"VIETNAM ROAD","DAY","EXT","00:39:35:13","00:40:21:08",1145,5,"-0.05625",2,"31.80555556","00:39:35:17","00:40:21:04",1137,59392,-23260,1,2375.68,2421.16,"Und wir waren dauernd auf der Suche nach einem gewissen Charlie. Stehen bleiben! Es hat nicht immer Spaß gemacht. Lt. Dan hatte dann öfter mal so komische Vorahnungen gehabt wegen einem Stein oder einem Weg In Deckung Schnautze halten Und das haben wir gemacht.",44,75,11.5915609697006,0.285317514285714
15,"Scene",12,"GUMP HOUSE","DAY","INT","00:09:54:22","00:11:09:15",1868,8,"-0.394761905",3,"51.88888889","00:09:55:01","00:11:09:11",1860,14876,-44516,4,595.04,669.44,"Es gibt Abendessen. Meine Güte, das sieht aber lecker aus. Forrest Überlegen Sie mal! Fangen sie ruhig schon an, Guten Apptetit. Aus Reisekoffern, Hutkoffern, Musterkoffern Forrest Gump Forrest Einmal… ...da wohnte ein junger Mann bei uns. Forrest Der hatte einen Gitarrenkoffer. Forrest Oh, nein nach Naja aber... Oh, das hört sich gut an. Danke, Ma'am You ain't nothing but a hound dog. Ich mochte die Gitarre. Sie klang gut. ###lyrics### Dann fing ich an,... Ich wackelte mit den Hüften.",79,65.4791666666667,11.2499801587127,0.386904742857143
5,"Scene",12,"GREENBOW ALABAMA","DAY","EXT","00:05:43:02","00:06:25:17",1065,5,"-0.165",1,"29.58333333","00:05:43:06","00:06:25:13",1057,8581,-6295,1,343.24,385.52,"Der Name Forrest soll mich immer daran erinnern, dass wir manchmal Sachen tun,... “Lovesick Blues” ...die nicht viel Sinn ergeben. Ich krieg das da raus. Lass mich! Ich mach das. Siehst du? ...geht doch da raus. noch anders, warte, warte! hum Was guckt ihr denn so? Habt ihr etwa noch nie nen Jungen mit Schienen an den Beinen gesehen? Wenn Gott gewollt hätte, dass alle Menschen gleich wären,... ",68,94.9861111111111,25.0205590068622,0.342857057142857
53,"Scene",12,"ARMY BUS","DAY","INT","00:27:41:07","00:28:55:14",1857,7,"-0.323",3,"51.58333333","00:27:41:11","00:28:55:10",1849,41536,32955,1,1661.44,1735.4,"Soll ich dir was sagen? Du bist das letzte, mit dir kann man nichtmal die Scheisse aufwischen. Du bist jetzt in der Army. Hier sitzt schon einer. Hier auch Es war doch der Tag meiner Einberufung. Warst du schonmal auf nem richtigen Shrimpkutter? Nein Ich hab schon immer aufm Shrimpkutter gearbeitet. Und jetzt hatt ich vor, mir selbst ein Boot zu kaufen, da haben sie mich eingezogen. Getauft bin ich auf... ...Benjamin Buford Blue. So wie die weißen Arbeiter sich begrüßen. Wie findest du das? Mein Name ist Forrest Gump. Mich nennen alle Forrest Gump. Also Bubba kam aus Bayou La Batre, Alabama und seine Mama kochte Shrimps.",108,54.4166666666667,11.2206760682488,0.313492028571429
107,"Scene",12,"NEW YORK","NIGHT","EXT","01:07:58:15","01:08:32:04",839,2,"0.275",2,"23.30555556","01:07:58:19","01:08:32:00",831,101969,60433,0,4078.76,4112," Nach links Nach rechts, rechts Okay wäääääh Runter von der Straße! Was machen sie hier in New York? Lt. Dan Als Kriegskrüppel hänge ich an der Titte der Wohlfahrt. Ich sauge sie aus. hey, hey, hey Bist du blind? Verpiss dich! Hast wohl nen Knall. Aaaah Verpiss dich! Komm jetzt, weiter, weiter! cheering ",54,34.9305555555556,4.25886097746766,0.336904685714286
46,"Scene",12,"WHITE HOUSE","DAY","INT","00:25:56:13","00:26:20:04",591,2,"-0.445",1,"16.41666667","00:25:56:17","00:26:20:00",583,38917,-63052,0,1556.68,1580,"Das, was richtig gut darin ist, wenn man den Präsidenten der Vereinigten Staaten kennenlernt, ist, das Essen. Sie stecken einen in einen kleinen Raum und da gibt es fast alles zu Essen und zu Trinken, was man sich wünscht. Und weil ich ersten keinen Hunger hatte, sondern nur Durst und zweitens alles umsonst war, habe ich so ungefähr 15 Doktor Peppers Cola getrunken. bööörp",64,61.4930555555556,14.0810772354643,0.365476171428571
196,"Scene",12,"GUMP HOUSE","DAY","INT","01:51:49:04","01:52:19:09",755,8,"-0.563333333",2,"20.97222222","01:51:49:08","01:52:19:05",747,167733,128816,3,6709.32,6739.2," Das warst du. Ich liebe dich. Du bist an einem Samstag morgen gestorben.",14,96.2777777777778,14.6863369178122,0.126587428571429
18,"Scene",12,"SCHOOL BUS STOP","DAY","EXT","00:11:52:18","00:12:32:07",989,9,"-0.576666667",3,"27.47222222","00:11:52:22","00:12:32:03",981,17822,-149911,0,712.88,752.12," Und du gibst dir wirklich Mühe, nicht wahr, Forrest? Ja, mach ich. Mama Ich kann mich noch an die Busfahrt am ersten Schultag erinnern. Kommst du oder kommst du nicht? Mama sagt, ich darf nicht bei Fremden ins Auto einsteigen. Das hier ist der Bus zur Schule. Ich bin Forrest, Forrest Gump. Ich bin Dorothy Harris. Dann sind sie ja jetzt keine Fremde mehr. mmpf",66,73.3958333333333,20.6002232130764,0.289682571428571
30,"Scene",12,"OUTSIDE JENNY'S HOUSE","DAY","EXT","00:17:06:19","00:18:30:07",2088,10,"0.055833333",3,"58","00:17:06:23","00:18:30:03",2080,25673,7851,3,1026.92,1110.12," Jenny? Er war ein sehr liebevoller Mann. Dauernd hat er sie und ihre Schwestern gestreichelt und geküsst. An diesem einen Tag... Jenny Warum bist du heute nicht in der Schule gewesen? Psst! Daddy ist gerade eingeschlafen. Jenny Komm schnell! Jenny Wo rennst du denn hin? Wo bist du? Jenny Jenny Wo bist du? Jenny Bete mit mir! Jenny Lieber Gott Lieber Gott Mama hat immer sagt: Gottes Wege sind rätselhaft. Jenny Er hat an dem Tag keinen Vogel aus Jenny gemacht. Komm sofort zurück!",85,80.5416666666667,14.0881789353445,0.367460314285714
179,"Scene",12,"STREET WITH HOUSES IN THE BACKGROUND","DAY","EXT","01:39:10:16","01:39:33:14",573,3,"0.165",2,"15.91666667","01:39:10:20","01:39:33:10",565,148770,123097,0,5950.8,5973.4,"Ich sagte mir: Der Mann hat seine 5 Sinne beieinander. Und dann hatte ich Gesellschaft. Kurze Zeit später hatte ich noch mehr Gesellschaft. Und dann kamen noch mehr Leute dazu.",30,81.7152777777778,14.6237518121545,0.219841314285714
21,"Scene",36,"SCHOOL BUS","DAY","INT","00:13:11:02","00:14:07:09",1407,10,"-0.333",2,"13.02777778","00:13:11:06","00:14:07:05",1399,19781,NA,2,791.24,847.2," Ich hatte noch nie in meinem Leben etwas so schönes gesehen. Sie war wie ein Engel. Was ist? Setzt du dich hin oder nicht? Was ist denn mit deinen Beinen? ähm Überhaupt nichts, danke Meine Beine sind ordentlich in Ordnung. Ich saß also da im Bus. Wieso hast du denn dann solche Schuhe an? Die Schuhe machen mich wieder kerzengerade. Es sind meine Zauberschuhe. Abgesehen von Mama... Mama sagt: Ich bin Jenny. Ich bin Forrest, Forrest Gump. Von dem Tag an waren wir immer zusammen. ",86,66.1064814814815,14.3755619030246,0.204569065420561
120,"Scene",36,"BAYOU LA BATRE","DAY","EXT","01:16:28:20","01:16:44:22",402,2,"-0.56",1,"3.722222222","01:16:28:24","01:16:44:18",394,114724,94943,0,4588.96,4604.72,"Nach einem neuen Haarschnitt und einen neuen Anzug und dann hab ich Mama cique zum essen ausgeführt und hab eine Fahrkarte für den Bus gekauft und drei Doctor Pepper Colas. Sagen sie mal! Sind Sie dumm oder sowas? ",38,79.275462962963,9.34983006335242,0.135643897196262
139,"Scene",36,"SAVANNAH","DAY","EXT","01:24:59:21","01:26:06:23",1677,7,"-0.32952381",3,"15.52777778","01:25:00:00","01:26:06:19",1669,127500,12776,4,5100,5166.76,"...konnte man nur noch Bubba Gump Shrimps kaufen. Wir hatten eine Menge Boote. Bubba Gump Shrimps Das ist ein Markenname. Moment mal mein Freund Ja, Sir Wir haben mehr Geld als Davy Crocket. chhhhahahaha ha ha ha ha hu Wir haben neben einem Millionär gesessen. chahahaha heee ha Also Und sie erzählen sie so schön. Aber ja, gern sogar Das da Das ist er. ahhh Und ich kann ihnen noch was über Lt.Dan erzählen. ",74,88.1157407407407,7.41189889573297,0.138888906542056
36,"Scene",36,"ALLEY","DAY","EXT","00:19:32:24","00:19:53:24",525,6,"0.445",3,"4.861111111","00:19:33:03","00:19:53:20",517,29328,-98172,1,1173.12,1193.8,"Ahahaaaaahahaha hahahahah huhuhuhuhuhuhu whooo ahahahahahahaha whooo whooo Lauf! Forrest ieaaaaah whooo",11,77.6898148148148,17.8851107072927,0.26882146728972
87,"Scene",36,"MILITARY HOSPITAL","DAY","INT","00:54:27:23","00:54:54:04",656,2,"-0.055",1,"6.074074074","00:54:28:02","00:54:54:00",648,81702,52374,0,3268.08,3294," ..., die wollen mir doch tatsächlich die... Ma'am Was haben die denn mit Lt. Dan gemacht? In die Heimat geschickt Zwei Wochen später habe ich Vietnam verlassen.",28,83.7337962962963,15.4164644187009,0.135124654205607
12,"Scene",36,"GUMP HOUSE","NIGHT","EXT","00:08:36:23","00:09:15:19",971,3,"-0.4175",3,"8.990740741","00:08:37:02","00:09:15:15",963,12927,-68775,0,517.08,555.6,"eeheeheeheeh Deiner Mutter liegt wirklich ne Menge an deiner Einschulung. Junge mh mh mhhh Du redest nicht viel, was? eeheeheeheeh",20,31.7522935779816,6.50627327377308,0.126286046296296
178,"Shot",4,"SAVANNAH","DAY","EXT","01:39:05:07","01:39:10:16",134,1,"0.67",1,"11.16666667","01:39:05:11","01:39:10:12",126,148636,NA,0,5945.44,5950.48,"",0,71.75,0.301511344577764,0.0227273636363636
205,"Shot",4,"SCHOOL BUS STOP","DAY","EXT","01:57:02:04","01:58:02:06",1502,1,"-0.33",1,"125.1666667","01:57:02:08","01:58:02:02",1494,175558,26922,0,7022.32,7082.08,"",0,79.7083333333333,24.8078601302576,0.439394
96,"Shot",4,"WASHINGTON D.C.","NIGHT","EXT","01:01:40:20","01:02:32:07",1287,1,"-0.78",2,"107.25","01:01:40:24","01:02:32:03",1279,92524,-83034,0,3700.96,3752.12," Ich würde dir nie wehtun. Jenny Ja, das weiß ich. Forrest Ich möchte gern dein... Diese Uniform ist wirklich irre. Forrest Du siehst gut damit aus. Ganz ehrlich uhmpf Weißt du was? Was ###lyrics### Das find ich auch. Forrest Wir sind die ganze Nacht spazieren gegangen. Jenny und ich ###lyrics### ",51,35.1041666666667,1.73027301226416,0.338383909090909
190,"Shot",4,"VIETNAM","NIGHT","EXT","01:50:58:23","01:51:10:14",291,1,"-0.33",2,"24.25","01:50:59:02","01:51:10:10",283,166477,73953,0,6659.08,6670.4,"Manchmal hat es so lang aufgehört zu regnen,... ...dass man die Sterne sehen konnte. Und dann war es schön.",19,9.47916666666667,1.27233827929906,0.296717272727273
180,"Shot",4,"SAVANNAH","DAY","EXT","01:39:33:14","01:39:40:09",170,1,"-0.78",1,"14.16666667","01:39:33:18","01:39:40:05",162,149343,-17134,0,5973.72,5980.2,"Naja Naja ich versteh nichts davon, aber...",7,70.7291666666667,0.505181485540923,0.044192
41,"Shot",4,"GIRL'S DORM","NIGHT","INT","00:23:04:23","00:23:17:21",323,1,"-0.22",1,"26.91666667","00:23:05:02","00:23:17:17",315,34627,-114716,0,1385.08,1397.68,"Ist das Dein Zimmer? Shh! Träumst du manchmal davon,...",9,40.2083333333333,4.10768865185837,0.247474727272727
81,"Shot",4,"VIETNAM CAMP","NIGHT","EXT","00:43:31:17","00:43:38:22",180,1,"-0.56",1,"15","00:43:31:21","00:43:38:18",172,65296,30669,0,2611.84,2618.72,"In Liebe Forrest Gump",4,11.125,0.82915619758885,0.127525272727273
148,"Shot",4,"BAYOU LA BATRE / BUBBA'S HOME","DAY","EXT","01:27:59:01","01:28:10:16",290,1,"0.055",2,"24.16666667","01:27:59:05","01:28:10:12",282,131980,66684,0,5279.2,5290.48,"Und auch wenn Bubba tot war und Lt. Dan gesagt hat, ich wäre verrückt... ...habe ich Bubbas Mama Bubbas Anteil gegeben.",21,64.1875,1.98896101246126,0.316919090909091
62,"Shot",4,"CLUB IN MEMPHIS","NIGHT","INT","00:31:55:24","00:32:31:15",891,1,"0.33",1,"74.25","00:31:56:03","00:32:31:11",883,47903,-84077,0,1916.12,1951.44," Ein Mann in Memphis Tennesse nämlich hatte einen Club. Und der hat ihr einen Job angeboten. Als Sängerin Whoooo hahahahaha yea Das war Amber, Amber Flame. Und jetzt... ...etwas fürs Auge und etwas fürs Ohr, direkt auf Hollywood Kalifornien. Exklusiv für sie unsere Beatnik Muse Ich bitte nochmal um einen satten Applaus für unsere sinnliche Bobbie Dylan. Yeaaaa",59,25.8333333333333,4.72701776701727,0.385100818181818
98,"Shot",4,"CAMPFIRE","NIGHT","EXT","01:02:36:23","01:02:44:04",181,1,"-0.67",1,"15.08333333","01:02:37:02","01:02:44:00",173,93927,46024,0,3757.08,3764," ###on walk of fame### ###lyrics### ",6,47.5416666666667,25.6044725614787,0.401515181818182
42,"Shot",4,"GIRL'S DORM / JENNY'S ROOM","NIGHT","INT","00:23:17:21","00:24:00:05",1059,1,"-0.28",2,"88.25","00:23:18:00","00:24:00:01",1051,34950,-58977,0,1398,1440.04,"...wer du einmal sein wirst? Wer ich mal sein werde? Ja Werd' ich später nicht mehr ich sein? Natürlich wirst du immer du sein. Trotzdem wirst Du ein anderer sein. Weißt Du was? Ich möchte mal berühmt werden. Ich möchte Sängerin werden wie Joan Baez. Ich möchte auf... Ich möchte in den Menschen etwas bewegen. Ich möchte Inhalte vermitteln. ",59,34.875,3.43527820760362,0.400252363636364
94,"Shot",4,"WASHINGTON D.C.","NIGHT","EXT","00:59:38:15","00:59:47:07",217,1,"-0.406666667",3,"18.08333333","00:59:38:19","00:59:47:03",209,89469,54519,0,3578.76,3587.12," Wir waren wieder wie Pech und Schwefel. Sie führte mich in der Stadt herum.",15,17.9583333333333,0.462617716387031,0.132575818181818
73,"Shot",4,"VIETNAM RICE FIELD","DAY","EXT","00:41:28:18","00:41:39:08",265,1,"-0.89",1,"22.08333333","00:41:28:22","00:41:39:04",257,62222,-27247,0,2488.88,2499.16,"Eines Tages fing es an zu regnen. Und es hörte vier Monate lang nicht auf.",15,74.8333333333333,13.3320075098398,0.266414181818182
110,"Shot",4,"APPARTMENT IN CALIFORNIA","NIGHT","INT","01:11:50:05","01:12:23:00",820,1,"0.39",2,"68.33333333","01:11:50:09","01:12:22:21",812,107759,45537,0,4310.36,4342.84," Neun, Acht, Sieben, Sechs fünf, Vier, Drei Zwei cheering in background ###lyrics### ###lyrics### ",14,24.75,4.80530010414637,0.488636272727273
126,"Shot",4,"APARTMENT / BEDROOM","NIGHT","INT","01:18:34:00","01:18:57:10",585,1,"-0.61",2,"48.75","01:18:34:04","01:18:57:06",577,117854,10095,0,4714.16,4737.24,"",0,18.5208333333333,6.38131000847337,0.452020181818182
58,"Shot",4,"BARRACKS","DAY","INT","00:29:56:14","00:30:45:17",1228,1,"0.11",2,"102.3333333","00:29:56:18","00:30:45:13",1220,44918,-72936,0,1796.72,1845.52," An nem guten Tag kannst du über 100 Pfund Shrimps fangen. Wenn alles richtig hinhaut, verdienen zwei Mann, die zehn Stunden fischen, abzüglich das, was du für den Sprit brauchst, so ungefähr... Fertig, Drill Sergeant Gump wer schneidet den gelben die Eier ab? Wieso haben sie das Gewehr so schnell zusammengesetzt? Weil sie es mir gesagt haben. Drill Sergeant Ach, du heiliger Strohsack Das ist ein neuer Kompanierekord. Sie werden nochmal General Private Gump und jetzt Waffe auseinandernehmen und weitermachen! äh Was ich dir gerade sagen wollte. Shrimps sind Früchte des Meeres. Du kannst sie am Spieß braten. Es gibt... ...äh... Shrimps Kebab, Shrimps Creol,",106,54.2083333333333,9.14705201723816,0.344697
95,"Shot",4,"BLACK PANTHER HQ","NIGHT","INT","00:59:53:18","01:00:39:16",1148,1,"0.256666667",3,"95.66666667","00:59:53:22","01:00:39:12",1140,89847,44929,0,3593.88,3639.48,"Hör auf! Er ist in Ordnung. Er ist in Ordnung. Er gehört zu uns. Ich werd dir jetzt mal was erzählen. Verflucht nochmal, wo warst du? Wir haben den besten Vorsatz, unsere schwarzen Führer vor den rassistischen Übergriffen der Bullen zu schützen, vor denen, die unsere Schwarzen Führer misshandeln und unsere Frauen vergewaltigen und den Zusammenschluss der Schwarzen zerschlagen wollen. Masai, Telefon. Wer ist der Babykiller? Das ist mein guter, alter Freund. Das ist Forrest Gump. Forrest Das ist Wesley. Wir beide waren zusammen in Berkeley. Wesley ist der Präsident vom SDS in Berkeley. Und ich sag dir nochwas anderes. Du musst wissen. Wir die Black Panther sind gegen den verdammten Krieg in Vietnam. Ja, ja Wir sind gegen jeden Krieg, in dem schwarze Soldaten an die vordeste Front geschickt werden, um für ein Land zu sterben, das sie hasst. Wir sind gegen jeden Krieg, in dem Schwarze...#### ",148,42.1875,3.53734138738532,0.361111272727273
45,"Shot",4,"WHITE HOUSE (BROADCAST)","DAY","INT","00:25:49:18","00:25:56:13",170,1,"-0.275",2,"14.16666667","00:25:49:22","00:25:56:09",162,38747,-51100,0,1549.88,1556.36,"Präsident Kennedy empfing heute im weißen Haus das All-American Football Team.",11,78.2916666666667,22.9418319127996,0.276515181818182
114,"Shot",4,"WHITE HOUSE","DAY","INT","01:13:11:08","01:13:28:18",435,1,"-0.78",1,"36.25","01:13:11:12","01:13:28:14",427,109787,71040,0,4391.48,4408.56," Junger Mann Ja, Sir Wo hat man sie untergebracht? Äh Es heißt Hotel Ebbott. Oh, nein, nein, nein, nein. Da kenn ich aber ein viel schöneres Hotel. Es ist völlig neu und völlig modern. ",35,91.4791666666667,14.4180514749162,0.258838454545455
82,"Shot",4,"VIETNAM JUNGLE","DAY","EXT","00:43:38:22","00:44:20:11",1039,1,"0.445",2,"86.58333333","00:43:39:01","00:44:20:07",1031,65476,-44311,0,2619.04,2660.28,"There's something happenin' here. What it is ain't exactly clear. There's a man with a gun over there, Telling' Me I got to beware. Dann kam ein Tag Wir waren grade mal unterwegs, wie üblich. Da hat plötzlich jemand den Regen abgestellt. Einfach so und die Sonne kam raus. Geht in Deckung!",52,68.2916666666667,11.1609268378028,0.419191818181818
204,"Shot",4,"JENNY'S GRAVE","DAY","EXT","01:53:33:19","01:53:59:06",637,1,"0",1,"53.08333333","01:53:33:23","01:53:59:02",629,170348,104872,0,6813.92,6839.08,"Und am Abend lesen wir immer ein Buch. Er ist wirklich klug. Jenny schnief schnief Du wärst so stolz auf ihn. Ich bin es Er hat... Er hat dir einen Brief geschrieben. Er ist ja nicht für mich, al, also lass ich ihn hier für dich.",46,126.229166666667,0.527195984488317,0.0555557272727273
150,"Shot",4,"FINE HOUSE","DAY","INT","01:28:12:08","01:28:18:18",160,1,"-0.89",1,"13.33333333","01:28:12:12","01:28:18:14",152,132312,-38036,0,5292.48,5298.56,"Von da an musste sie nie wieder in anderer Leute Küche arbeiten. ",12,91.4166666666667,5.68524139302543,0.275252636363636
200,"Shot",4,"GUMP HOUSE","NIGHT","INT","01:52:58:10","01:53:06:24",214,1,"-0.67",1,"17.83333333","01:52:58:14","01:53:06:20",206,169464,37152,0,6778.56,6786.8,"Er geht nun bald wieder in die Schule. ...er war sicht nicht ganz sicher, überall wo sie hingingen waren die neuen Gäste... Ich mache jeden Tag sein Frühstück für ihn. Das Mittagessen",32,56.5208333333333,3.44676780960559,0.119949545454545
192,"Shot",4,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT","01:51:16:11","01:51:24:21",210,1,"-0.56",1,"17.5","01:51:16:15","01:51:24:17",202,166915,-2549,0,6676.6,6684.68,"Es waren... Es waren millionen Glitzerlichter auf dem Wasser. Oder so wie der Bergsee",14,26.2708333333333,0.901125138452765,0.114898909090909
136,"Shot",4,"BAYOU LA BATRE","DAY","EXT","01:24:26:19","01:24:34:08",189,1,"-0.56",1,"15.75","01:24:26:23","01:24:34:04",181,126673,-40242,0,5066.92,5074.16," ",0,70.4791666666667,22.6415894311706,0.5
144,"Shot",4,"SAVANNAH","DAY","EXT","01:27:33:07","01:27:37:14",107,1,"-0.115",2,"8.916666667","01:27:33:11","01:27:37:10",99,131336,4663,0,5253.44,5257.4,"Das ist gut. Eine Sorge weniger ",6,76.1041666666667,0.718729413407417,0.0353537272727273
80,"Shot",4,"GRANDMA'S TRAILER","DAY","EXT","00:43:20:24","00:43:31:17",268,1,"0.17",2,"22.33333333","00:43:21:03","00:43:31:13",260,65028,-66308,0,2601.12,2611.52," ",0,71.3541666666667,9.13376498924665,0.356060545454545
17,"Shot",4,"SAVANNAH","DAY","EXT","00:11:42:15","00:11:52:18",253,1,"-0.89",1,"21.08333333","00:11:42:19","00:11:52:14",245,17569,-47459,0,702.76,712.56,"",0,69.0208333333333,1.00825193761131,0.0366162727272727
157,"Shot",4,"GUMP HOUSE","DAY","INT","01:31:14:06","01:31:21:16",185,1,"-0.585",2,"15.41666667","01:31:14:10","01:31:21:12",177,136860,119291,0,5474.4,5481.48,"Jeden Tag hab' ich schöne Blumen gepflückt und sie in ihr Zimmer gestellt.",13,76.5,2.28134728933266,0.070707
113,"Shot",4,"SAVANNAH","DAY","EXT","01:12:59:01","01:13:11:08",307,1,"-0.89",1,"25.58333333","01:12:59:05","01:13:11:04",299,109480,-27380,0,4379.2,4391.16,"...war ich zusammen mit dem PingPong Team im weißen Haus eingeladen. Also bin ich hingegangen. Und ich traf den Präsidenten der Vereinigten Staaten, schon wieder. ",25,66.1041666666667,0.537865450112054,0.0618687272727273
193,"Shot",4,"MOUNTAIN LAKE","DAY","EXT","01:51:24:21","01:51:33:03",207,1,"-0.445",2,"17.25","01:51:25:00","01:51:32:24",199,167125,57645,0,6685,6692.96,"Jenny ...zwei Himmel wären. ",4,83.5625,0.67525247803389,0.0239900909090909
124,"Shot",4,"DISCO","NIGHT","INT","01:18:09:06","01:18:28:14",483,1,"-0.263333333",3,"40.25","01:18:09:10","01:18:28:10",475,117235,-49890,0,4689.4,4708.4,"Du willst fahren? Oder meinst du ich soll fahren? aaahaha Ich hatte schon seit langer Zeit nichts mehr von Jenny gehört. ",21,25.625,4.13342802921828,0.443181909090909
111,"Shot",4,"NEW YORK BAR","NIGHT","INT","01:12:23:00","01:12:54:08",783,1,"-0.26",3,"65.25","01:12:23:04","01:12:54:04",775,108579,-8656,0,4343.16,4374.16,"cheering in background Gesundes neues Jahr ###song name?### Ein frohes neues Jahr Lt. Dan ",14,20.7708333333333,4.3503635340955,0.463383818181818
93,"Shot",4,"WASHINGTON D.C.","DAY","EXT","00:56:09:12","00:56:37:21",709,1,"0.055",2,"59.08333333","00:56:09:16","00:56:37:17",701,84241,-24338,0,3369.64,3397.68,"Hey Du bist genau der richtige Mann für das hier. Ganz ehrlich Okay Er trug als Hemd die amerikansche Flagge aus irgendeinem Grund.",23,64.9375,14.2223116168671,0.390151636363636
86,"Shot",4,"MILITARY HOSPITAL","DAY","INT","00:54:11:24","00:54:27:23",399,1,"-0.67",1,"33.25","00:54:12:03","00:54:27:19",391,81303,-2938,0,3252.12,3267.76,"Private Gump Ja, Sir Stehen sie bequem! Mein Sohn Ihnen wird die Tapferkeitsmedallie verliehen.",14,64.0625,8.77310261797128,0.239899
79,"Shot",4,"VIETNAM CAMP","NIGHT","EXT","00:43:03:03","00:43:20:24",446,1,"-0.275",2,"37.16666667","00:43:03:07","00:43:20:20",438,64582,-16721,0,2583.28,2600.8,"Ich hab das sogar Jenny geschrieben. Ich hab ihr immer Briefe geschrieben. Ich hab ihr erzählt, was ich so mache und sie gefragt, was sie so macht. Und ich hab ihr geschrieben, dass ich immer an sie denke.",38,17.125,2.56616976693423,0.356060636363636
133,"Shot",4,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT","01:23:09:08","01:23:34:15",632,1,"-0.89",2,"52.66666667","01:23:09:12","01:23:34:11",624,124737,60155,0,4989.48,5014.44,"Keine Shrimps Wo zum Teufel ist denn dein Gott? ",9,76.6458333333333,9.10884830394284,0.373737272727273
37,"Shot",4,"SAVANNAH","DAY","EXT","00:19:53:24","00:20:01:19",195,1,"-0.44",1,"16.25","00:19:54:03","00:20:01:15",187,29853,-94884,0,1194.12,1201.6,"Es wurde ganz normal. ",4,73.6875,0.649519052838329,0.0643940909090909
69,"Shot",4,"VIETNAM MILITARY BASE","DAY","EXT","00:38:35:11","00:39:19:18",1107,1,"-0.56",1,"92.25","00:38:35:15","00:39:19:14",1099,57890,28037,0,2315.6,2359.56," Na dann, los “I Can't Help Myself (Sugar Pie Honey Bunch)” Also ihr Männer seid aus Arkansas, huh? Naja Bin da mal durchgekommen. Bedrock ist 'n hübsches Städtchen. So Ihr stellt jetzt euren ganzen Kram ab. Wenn ihr Hunger habt... Es gibt ein Paar feststehende Regeln in diesem Platoon. Erstens Passt auf eure Füße auf! Zweitens There must be some kind of way outta here",66,62.875,17.6546736021938,0.368686818181818
13,"Shot",4,"GUMP HOUSE / BEDROOM FORREST","NIGHT","INT","00:09:15:19","00:09:46:13",769,1,"-0.44",2,"64.08333333","00:09:15:23","00:09:46:09",761,13898,-43992,0,555.92,586.36," oh Wie ging es weiter? Zuerst kam... Mama Was bedeutet das, Ferien? Ferien? Wo Daddy hin ist. Na ",19,58.3333333333333,8.85574629403092,0.275252454545455
147,"Shot",4,"BAYOU LA BATRE / HOSPITAL","DAY","EXT","01:27:52:19","01:27:59:01",157,1,"0.78",1,"13.08333333","01:27:52:23","01:27:58:22",149,131823,117925,0,5272.92,5278.88,"Und eine ganze Menge habe ich auch dem Bayou La Batre Seemannskrankenhaus geschenkt.",13,69.5,6.41110542163149,0.299242454545455
155,"Shot",4,"FIELD","DAY","EXT","01:30:46:03","01:31:04:00",447,1,"-0.406666667",3,"37.25","01:30:46:07","01:31:03:21",439,136157,4334,0,5446.28,5463.84,"Wir machten jeden Tag einen Spaziergang und ich habe geplappert wie ein Äffchen. Sie hat sich alles angehört vom Ping Pong spielen, vom Shrimpfischen und von Mamas Reise in den Himmel. Die meiste Zeit hab ich allein geredet. Jenny war eigentlich richtig still. ...dann Regen.",45,69.3541666666667,11.045596784843,0.375
158,"Shot",4,"GUMP HOUSE","DAY","EXT","01:31:21:16","01:31:28:23",182,1,"-0.5",2,"15.16666667","01:31:21:20","01:31:28:19",174,137045,888,0,5481.8,5488.76,"Neue Schuhe Das sind Spezialschuhe für Läufer.",7,71.1041666666667,2.97424232776054,0.279040454545455
125,"Shot",4,"BAYOU LA BATRE","DAY","EXT","01:18:28:14","01:18:34:00",136,1,"-0.67",2,"11.33333333","01:18:28:18","01:18:33:21",128,117718,-19327,0,4708.72,4713.84," ",0,75.7083333333333,7.06852284084271,0.151515272727273
186,"Shot",4,"JENNY'S APPARTMENT","DAY","INT","01:44:05:18","01:44:44:19",976,1,"-0.37",3,"81.33333333","01:44:05:22","01:44:44:15",968,156147,38429,0,6245.88,6284.6,"Ich bin sehr weit gelaufen. Hab mir viel Zeit genommen. Hier huuuch äääh Forrest Ich... äääh Ich war ziemlich kaputt und... uhuh Hey Hallo Na, du? Das ist mein alter Freund aus Alabama. ach",34,87.1458333333333,4.30704804695604,0.203282727272727
202,"Shot",4,"GUMP HOUSE","NIGHT","EXT","01:53:20:18","01:53:27:11",168,1,"-0.555",2,"14","01:53:20:22","01:53:27:07",160,170022,13875,0,6800.88,6807.28,"Okay Er macht es sehr gut. Ok, Forrest, jetzt du haeeeeh",11,27.375,1.2224230780782,0.194444545454545
156,"Shot",4,"TREE ON A FIELD","DAY","EXT","01:31:04:00","01:31:14:06",256,1,"-0.5",2,"21.33333333","01:31:04:04","01:31:14:02",248,136604,-33418,0,5464.16,5474.08," Wir waren wieder wie Pech und Schwefel.",8,64.5,20.0969242332344,0.449494909090909
